4.8883 	INFO 	Loaded monitor calibration from ['2023_05_12 15:00']
5.0523 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x7fd9610a96a0>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x7fd9610a9580>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=True, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x7fd9614f6a30>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([3024, 1964]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
5.0523 	EXP 	window1: backgroundImage = ''
5.0524 	EXP 	window1: backgroundFit = 'none'
5.0952 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
5.0952 	EXP 	window1: recordFrameIntervals = False
5.2152 	EXP 	window1: recordFrameIntervals = True
6.0490 	WARNING 	Couldn't measure a consistent frame rate!
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

6.7406 	INFO 	keyboard.Keyboard is using ptb backend.
6.9967 	INFO 	keyboard.Keyboard is using ptb backend.
7.2540 	INFO 	keyboard.Keyboard is using ptb backend.
7.2540 	EXP 	method-of-adjustment: status = STARTED
7.2904 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
7.3081 	EXP 	Created grating = GratingStim(__class__=<class 'psychopy.visual.grating.GratingStim'>, anchor='center', autoDraw=False, autoLog=True, blendmode='avg', color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, interpolate=True, mask='raisedCos', maskParams=None, name='grating', opacity=1, ori=0.0, phase=array([1., 1.]), pos=array([0., 0.]), rgbPedestal=array([0., 0., 0.]), sf=array([1., 1.]), size=array([0.15, 0.15]), tex='sin', texRes=512.0, units='height', win=Window(...))
7.3237 	EXP 	Created grating_2 = GratingStim(__class__=<class 'psychopy.visual.grating.GratingStim'>, anchor='center', autoDraw=False, autoLog=True, blendmode='avg', color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-3.0, draggable=False, interpolate=True, mask='raisedCos', maskParams=None, name='grating_2', opacity=1, ori=0.0, phase=array([1., 1.]), pos=array([0., 0.]), rgbPedestal=array([0., 0., 0.]), sf=array([1., 1.]), size=array([0.15, 0.15]), tex='sin', texRes=512.0, units='height', win=Window(...))
7.3267 	EXP 	Created polygon = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-4.0, draggable=False, fillColor=array([-1, -1, -1]), fillColorSpace='rgb', fillRGB=array([-1, -1, -1]), interpolate=True, lineColor=array([-1., -1., -1.]), lineColorSpace='rgb', lineRGB=array([-1, -1, -1]), lineWidth=1.0, name='polygon', opacity=1, ori=1.0, pos=array([0., 0.]), size=array([0.015, 0.015]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
0.0220 	INFO 	Keyboard events cleared
0.0219 	EXP 	text: autoDraw = True
0.7127 	EXP 	Imported method-of-adjustment.csv as conditions, 4 conditions, 2 params
0.7132 	EXP 	New trial (rep=0, index=0): <Trial 0 (0 in rep 0) data={'direction': 1, 'control': 1, 'thisN': 0, 'thisTrialN': 0, 'thisRepN': 0}>
0.7185 	DATA 	Keypress: space
0.7207 	WARNING 	t of last frame was 114.80ms (=1/8)
0.7207 	EXP 	text: autoDraw = False
0.7207 	EXP 	grating: phase = array([322.50611043, 322.50611043])
0.7207 	EXP 	grating_2: phase = array([338.45583357, 338.45583357])
0.7207 	EXP 	polygon: ori = 90.0
0.7207 	EXP 	polygon: autoDraw = True
0.9938 	INFO 	Keyboard events cleared
0.9937 	WARNING 	t of last frame was 38.12ms (=1/26)
0.9937 	EXP 	grating: autoDraw = True
0.9937 	EXP 	grating_2: autoDraw = True
0.9937 	EXP 	grating: tex = 'sin'
0.9937 	EXP 	grating_2: tex = 'sin'
2.5931 	DATA 	Mouse: wheel shift=(0,0), pos=(756,491)
2.6106 	DATA 	Mouse: wheel shift=(0,0), pos=(756,491)
2.6270 	DATA 	Mouse: wheel shift=(0,0), pos=(756,491)
2.6415 	DATA 	Mouse: wheel shift=(0,0), pos=(756,491)
2.6593 	DATA 	Mouse: wheel shift=(0,0), pos=(756,491)
2.6764 	DATA 	Mouse: wheel shift=(0,0), pos=(756,491)
2.6935 	DATA 	Mouse: wheel shift=(0,0), pos=(756,491)
2.7104 	DATA 	Mouse: wheel shift=(0,0), pos=(756,491)
2.7251 	DATA 	Mouse: wheel shift=(0,0), pos=(756,491)
2.7430 	DATA 	Mouse: wheel shift=(0,0), pos=(756,491)
2.7602 	DATA 	Mouse: wheel shift=(0,0), pos=(756,491)
2.7763 	DATA 	Mouse: wheel shift=(0,0), pos=(756,491)
2.7938 	DATA 	Mouse: wheel shift=(0,0), pos=(756,491)
2.8108 	DATA 	Mouse: wheel shift=(0,0), pos=(756,491)
2.8260 	DATA 	Mouse: wheel shift=(0,0), pos=(756,491)
2.8432 	DATA 	Mouse: wheel shift=(0,0), pos=(756,491)
2.8597 	DATA 	Mouse: wheel shift=(0,0), pos=(756,491)
2.8770 	DATA 	Mouse: wheel shift=(0,0), pos=(756,491)
2.8939 	DATA 	Mouse: wheel shift=(0,0), pos=(756,491)
2.9089 	DATA 	Mouse: wheel shift=(0,0), pos=(756,491)
2.9431 	DATA 	Mouse: wheel shift=(0,-1), pos=(756,491)
2.9596 	DATA 	Mouse: wheel shift=(0,0), pos=(756,491)
2.9769 	DATA 	Mouse: wheel shift=(0,0), pos=(756,491)
2.9774 	DATA 	Mouse: wheel shift=(0,0), pos=(756,491)
2.9922 	DATA 	Mouse: wheel shift=(0,0), pos=(756,491)
3.0077 	DATA 	Mouse: wheel shift=(0,0), pos=(756,491)
3.0275 	DATA 	Mouse: wheel shift=(0,0), pos=(756,491)
3.0432 	DATA 	Mouse: wheel shift=(0,0), pos=(756,491)
3.0571 	DATA 	Mouse: wheel shift=(0,0), pos=(756,491)
3.0574 	DATA 	Mouse: wheel shift=(0,0), pos=(756,491)
8.4426 	EXP 	New trial (rep=0, index=1): <Trial 1 (1 in rep 0) data={'direction': -1, 'control': -1, 'thisN': 1, 'thisTrialN': 1, 'thisRepN': 0}>
8.4583 	DATA 	Keypress: space
8.4609 	WARNING 	t of last frame was 20.96ms (=1/47)
8.4609 	EXP 	grating: autoDraw = False
8.4609 	EXP 	grating_2: autoDraw = False
8.4609 	EXP 	polygon: autoDraw = False
8.4609 	EXP 	grating: phase = array([220.77326252, 220.77326252])
8.4609 	EXP 	grating_2: phase = array([142.30770837, 142.30770837])
8.4609 	EXP 	polygon: ori = -90.0
8.4609 	EXP 	polygon: autoDraw = True
8.6894 	INFO 	Keyboard events cleared
8.6891 	EXP 	grating: autoDraw = True
